iter	Passed	Remaining
0	64	32086
1	77	19177
2	89	14894
3	103	12812
4	115	11441
5	128	10570
6	140	9905
7	154	9502
8	169	9255
9	183	8994
10	196	8728
11	209	8516
12	221	8306
13	236	8193
14	249	8061
15	261	7907
16	275	7815
17	287	7707
18	300	7605
19	313	7522
20	327	7478
21	351	7629
22	365	7590
23	386	7662
24	400	7611
25	414	7549
26	428	7503
27	448	7555
28	464	7538
29	479	7509
30	494	7475
31	509	7448
32	523	7414
33	538	7377
34	551	7325
35	564	7272
36	577	7231
37	591	7185
38	604	7150
39	619	7128
40	633	7097
41	647	7061
42	661	7026
43	674	6987
44	687	6955
45	701	6923
46	713	6881
47	727	6854
48	746	6869
49	760	6848
50	776	6834
51	790	6808
52	804	6783
53	819	6768
54	834	6750
55	848	6723
56	862	6700
57	877	6687
58	890	6657
59	903	6625
60	917	6605
61	928	6557
62	939	6520
63	952	6490
64	964	6458
65	978	6435
66	991	6410
67	1005	6387
68	1018	6363
69	1031	6334
70	1044	6310
71	1057	6287
72	1071	6266
73	1085	6248
74	1099	6229
75	1112	6204
76	1124	6177
77	1138	6160
78	1152	6139
79	1165	6119
80	1178	6097
81	1191	6075
82	1205	6058
83	1219	6037
84	1232	6019
85	1245	5995
86	1258	5975
87	1270	5947
88	1282	5922
89	1294	5898
90	1308	5878
91	1320	5854
92	1332	5830
93	1344	5807
94	1357	5788
95	1369	5764
96	1381	5741
97	1395	5724
98	1409	5708
99	1422	5689
100	1435	5671
101	1448	5650
102	1459	5627
103	1473	5609
104	1486	5593
105	1500	5576
106	1512	5555
107	1527	5544
108	1540	5524
109	1554	5511
110	1568	5495
111	1582	5482
112	1595	5464
113	1608	5446
114	1622	5432
115	1636	5418
116	1651	5406
117	1665	5393
118	1678	5373
119	1692	5360
120	1705	5340
121	1718	5324
122	1732	5308
123	1745	5294
124	1758	5276
125	1771	5258
126	1785	5242
127	1798	5226
128	1812	5211
129	1825	5195
130	1839	5180
131	1852	5163
132	1865	5146
133	1879	5133
134	1893	5120
135	1907	5105
136	1921	5091
137	1934	5075
138	1948	5060
139	1961	5044
140	1974	5028
141	1988	5012
142	2001	4997
143	2014	4981
144	2028	4965
145	2042	4951
146	2056	4937
147	2069	4922
148	2083	4908
149	2096	4892
150	2110	4877
151	2124	4863
152	2136	4846
153	2150	4832
154	2164	4817
155	2177	4801
156	2191	4788
157	2206	4776
158	2220	4761
159	2233	4746
160	2248	4733
161	2262	4720
162	2276	4707
163	2290	4692
164	2303	4676
165	2317	4662
166	2330	4647
167	2344	4632
168	2356	4615
169	2369	4599
170	2384	4586
171	2398	4573
172	2411	4557
173	2424	4542
174	2437	4527
175	2451	4512
176	2464	4496
177	2477	4482
178	2491	4468
179	2504	4452
180	2519	4440
181	2532	4424
182	2544	4408
183	2558	4393
184	2571	4377
185	2584	4362
186	2598	4348
187	2611	4333
188	2624	4317
189	2637	4303
190	2650	4288
191	2664	4274
192	2677	4259
193	2691	4245
194	2705	4231
195	2717	4215
196	2731	4200
197	2744	4185
198	2758	4171
199	2783	4174
200	2796	4159
201	2810	4145
202	2824	4131
203	2837	4116
204	2850	4101
205	2862	4085
206	2876	4070
207	2889	4056
208	2903	4042
209	2916	4027
210	2929	4012
211	2942	3997
212	2955	3982
213	2968	3966
214	2982	3953
215	2994	3937
216	3007	3921
217	3019	3906
218	3033	3891
219	3046	3877
220	3059	3862
221	3071	3846
222	3085	3832
223	3099	3818
224	3112	3803
225	3123	3787
226	3135	3771
227	3148	3755
228	3159	3738
229	3170	3722
230	3182	3705
231	3193	3689
232	3206	3674
233	3218	3658
234	3229	3641
235	3241	3626
236	3253	3610
237	3264	3593
238	3275	3577
239	3287	3561
240	3300	3546
241	3311	3530
242	3323	3515
243	3336	3500
244	3349	3485
245	3361	3470
246	3374	3456
247	3387	3442
248	3398	3426
249	3412	3412
250	3425	3398
251	3438	3383
252	3451	3369
253	3465	3356
254	3478	3341
255	3491	3327
256	3503	3313
257	3515	3297
258	3526	3281
259	3536	3264
260	3549	3250
261	3562	3236
262	3575	3221
263	3587	3207
264	3600	3192
265	3611	3177
266	3625	3163
267	3638	3149
268	3651	3135
269	3663	3121
270	3678	3108
271	3691	3093
272	3703	3079
273	3717	3066
274	3729	3051
275	3742	3037
